Customer_ID;Gender;Birth_Date;Ref_Date;Marital_Status;Children_Num;Occupation_Category;Total_Income;Payroll_Flag;Business_Flag;Saving_Current_Accounts_Flag;Investment_Products_Flag;Insurance_Products_Flag;Business_Loans_Flag;Housing_Loans_Flag;Consumer_Loans_Flag;Credit_Cards_Flag;Saving_Current_Balance;Investment_Products_Balance;Insurance_Balances;Business_Loans_Balance;Housing_Loans_Balance;Consumer_Loans_Balance;Credit_Cards_Balance;Branch_Trans_Num;ATM_Trans_Num;APS_Trans_Num;Phone_Trans_Num;Internet_Trans_Num;Deposit_Trans_Num;Withdrawl_Trans_Num;Payment_Trans_Num;Transfer_Trans_Num;Deposit_Trans_Amount;Withdrawl_Trans_Amount;Payment_Trans_Amount;Transfer_Trans_Amount;Credit_Cards_Installments;Credit_Cards_Payments_Num;Credit_Cards_Purchases_Num;Credit_Cards_Witrhdrawals_Num;Credit_Cards_Payments_Amount;Credit_Cards_Purchases_Amount;Credit_Cards_Witrhdrawals_Amount;Arrears_Months_Max;Time_Deposits_Flag;Age;Age_Group;Income_Group
5904453.0;Male;17.10.1960;31.12.2008;Married;2.0;Rentiers;14000.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;27.288333;0.0;0.0;0.0;0.0;13031.731666;0.0;0.333333;0.0;0.333333;0.0;0.0;0.333333;0.0;0.333333;0.0;109.905;0.0;110.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;F;48;Middle-Age;Low Income
5904524.0;Male;22.02.1972;31.12.2008;Divorced;0.0;Employees;17577.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;120.186666;0.0;0.0;0.0;0.0;12787.736666;0.0;0.833333;2.5;0.333333;0.0;0.0;0.666667;2.666667;0.333333;0.0;358.333333;791.666666;43.333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;F;36;Middle-Age;Medium Income
5904672.0;Male;24.06.1953;31.12.2008;Married;1.0;Rentiers;3000.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;987.435;0.0;0.0;0.0;0.0;0.0;0.0;0.333333;0.0;0.0;0.0;0.0;0.0;0.166667;0.0;0.0;0.0;250.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;F;55;Senior;Low Income
125603.0;Male;19.09.1952;31.12.2008;Married;0.0;Rentiers;14735.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;5.581666;0.0;0.0;0.0;0.0;0.0;0.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;F;56;Senior;Low Income
1065914.0;Male;04.08.1960;31.12.2008;Single;0.0;Business-Owners;99755.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1614.756666;0.0;0.0;39479.241666;0.0;15535.31;10116.456666;3.833333;0.0;0.0;0.0;0.0;1.666667;0.333333;0.166667;0.0;525.833333;6650.0;28.333333;0.0;8.666667;3.5;2.0;0.0;275.833333;78.22;0.0;2.0;F;48;Middle-Age;High Income
364123.0;Female;28.02.1959;31.12.2008;Divorced;0.0;Business-Owners;34397.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;6408.281666;9578.878333;0.0;0.166667;1.5;0.0;0.0;0.0;0.0;0.833333;0.0;0.0;0.0;83.333333;0.0;0.833333;0.666667;0.0;0.166667;243.333333;0.0;80.0;1.0;F;49;Middle-Age;Medium Income
364251.0;Female;29.04.1956;31.12.2008;Married;0.0;Retirees;29563.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;26.568333;0.0;169.08;0.0;0.0;26032.408333;2722.143333;2.5;0.0;0.5;0.0;0.0;0.166667;0.0;1.5;0.0;33.431666;0.0;421.666666;0.0;0.833333;0.833333;0.0;0.0;51.666666;0.0;0.0;1.0;F;52;Middle-Age;Medium Income
558273.0;Male;06.07.1939;31.12.2008;Married;0.0;Retirees;13678.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1332.146666;0.0;0.0;0.0;0.0;0.0;0.0;2.166667;0.0;0.0;0.0;0.0;0.5;1.666667;0.0;0.0;133.333333;1136.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;F;69;Senior;Low Income
1350622.0;Male;17.01.1944;31.12.2008;Married;0.0;Self-Employees;42146.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1141.646666;3327.131666;0.0;0.0;0.0;0.0;0.0;0.333333;0.0;0.0;0.0;0.0;0.0;0.166667;0.0;0.166667;0.0;833.333333;0.0;312.833333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;F;64;Senior;Medium Income
5906251.0;Male;01.07.1953;31.12.2008;Married;1.0;Employees;14038.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;7411.825;0.0;0.0;0.0;0.333333;1.166667;0.5;0.0;0.0;0.333333;1.166667;0.5;0.0;36.666666;120.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;F;55;Senior;Low Income
5906855.0;Male;24.02.1952;31.12.2008;Married;0.0;Employees;46207.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;36.84;0.0;0.0;0.0;0.0;9291.515;0.0;0.666667;0.333333;0.0;0.0;0.0;1.0;0.0;0.0;0.0;240.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;F;56;Senior;High Income
1547405.0;Male;07.05.1976;31.12.2008;Married;1.0;Employees;28273.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;F;32;Young;Medium Income
172854.0;Male;16.11.1957;31.12.2008;Married;2.0;Business-Owners;118445.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;64.145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;F;51;Middle-Age;High Income
174182.0;Female;24.09.1950;31.12.2008;Married;1.0;Business-Owners;210962.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;420.448333;0.0;0.0;50813.856666;0.0;2973.241666;8090.01;6.666667;0.333333;0.833333;0.0;0.0;5.166667;0.166667;0.833334;0.333333;11094.166666;333.333333;146.618331;606.828333;1.666667;0.666667;0.0;0.333333;190.061666;0.0;45.0;3.0;F;58;Senior;High Income
174261.0;Female;04.03.1957;31.12.2008;Single;0.0;Employees;43419.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1260.87;0.0;0.0;0.0;0.0;0.0;700.285;0.0;1.666667;0.0;0.0;0.0;0.0;1.666667;0.0;0.0;0.0;1003.333333;0.0;0.0;1.166667;1.0;0.166667;0.0;382.67;67.333333;0.0;0.0;F;51;Middle-Age;Medium Income
696324.0;Female;17.09.1946;31.12.2008;Married;1.0;Retirees;20372.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;119.18;0.0;0.0;0.0;0.0;9524.995;0.69;0.666667;1.333333;0.0;0.0;0.0;0.666667;1.166667;0.0;0.166667;70.886666;270.0;0.0;34.833333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;F;62;Senior;Medium Income
716825.0;Male;26.07.1972;31.12.2008;Single;0.0;Rentiers;17724.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3322.299999;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.166667;0.666667;0.0;0.0;646.666666;616.666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;F;36;Middle-Age;Medium Income
711432.0;Female;28.04.1976;31.12.2008;Single;0.0;Self-Employees;3603.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2402.685;0.0;0.0;0.0;0.0;0.0;0.0;0.833333;0.0;0.0;0.0;0.0;0.666667;0.166667;0.0;0.0;366.666666;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;F;32;Young;Low Income
711484.0;Female;15.12.1982;31.12.2008;Single;0.0;Employees;7148.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2579.035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;F;26;Young;Low Income
